ZONE,PER,QUANTITY
38,PER11,34
38,PER12,64
38,PER13,129
38,PER14,238
38,PER15,302
38,PER16,336
38,PER17,358
38,PER18,374
38,PER19,381
38,PER20,399
38,PER21,409
38,PER22,412
38,PER23,396
38,PER24,395
38,PER25,388
38,PER26,378
38,PER27,378
38,PER28,365
38,PER29,318
38,PER30,275
38,PER31,245
38,PER32,220
38,PER33,196
38,PER34,173
38,PER35,156
38,PER36,146
38,PER37,135
38,PER38,121
38,PER39,97
38,PER40,78
38,PER41,53
38,PER42,33
38,PER43,22
38,PER44,11
38,PER45,10
38,PER46,6
38,PER47,3
38,PER8,6
38,PER9,9
39,PER10,11
39,PER11,14
39,PER12,19
39,PER13,40
39,PER14,62
39,PER15,73
39,PER16,86
39,PER17,90
39,PER18,101
39,PER19,107
39,PER20,113
39,PER21,116
39,PER22,122
39,PER23,114
39,PER24,104
39,PER25,105
39,PER26,110
39,PER27,112
39,PER28,110
39,PER29,97
39,PER30,86
39,PER31,77
39,PER32,73
39,PER33,72
39,PER34,60
39,PER35,58
39,PER36,59
39,PER37,48
39,PER38,39
39,PER39,30
39,PER40,19
39,PER41,16
39,PER42,16
39,PER43,14
39,PER44,9
39,PER45,4
39,PER46,1
39,PER8,1
39,PER9,7
40,PER10,9
40,PER11,14
40,PER12,21
40,PER13,38
40,PER14,49
40,PER15,56
40,PER16,67
40,PER17,70
40,PER18,78
40,PER19,81
40,PER20,82
40,PER21,83
40,PER22,81
40,PER23,84
40,PER24,85
40,PER25,81
40,PER26,84
40,PER27,82
40,PER28,79
40,PER29,76
40,PER30,70
40,PER31,64
40,PER32,55
40,PER33,48
40,PER34,42
40,PER35,39
40,PER36,32
40,PER37,36
40,PER38,33
40,PER39,24
40,PER40,23
40,PER41,19
40,PER42,12
40,PER43,6
40,PER44,5
40,PER45,5
40,PER46,3
40,PER47,2
40,PER8,1
40,PER9,5
41,PER10,13
41,PER11,27
41,PER12,54
41,PER13,88
41,PER14,134
41,PER15,158
41,PER16,178
41,PER17,181
41,PER18,198
41,PER19,209
41,PER20,217
41,PER21,218
41,PER22,224
41,PER23,225
41,PER24,227
41,PER25,226
41,PER26,225
41,PER27,226
41,PER28,214
41,PER29,205
41,PER30,188
41,PER31,183
41,PER32,166
41,PER33,155
41,PER34,138
41,PER35,132
41,PER36,130
41,PER37,120
41,PER38,109
41,PER39,90
41,PER40,69
41,PER41,50
41,PER42,36
41,PER43,33
41,PER44,28
41,PER45,25
41,PER46,16
41,PER47,9
41,PER9,5
42,PER10,11
42,PER11,20
42,PER12,26
42,PER13,44
42,PER14,64
42,PER15,74
42,PER16,89
42,PER17,93
42,PER18,101
42,PER19,105
42,PER20,114
42,PER21,120
42,PER22,120
42,PER23,126
42,PER24,124
42,PER25,126
42,PER26,123
42,PER27,127
42,PER28,124
42,PER29,109
42,PER30,89
42,PER31,81
42,PER32,73
42,PER33,61
42,PER34,62
42,PER35,56
42,PER36,54
42,PER37,51
42,PER38,50
42,PER39,42
42,PER40,26
42,PER41,22
42,PER42,14
42,PER43,12
42,PER44,7
42,PER45,5
42,PER46,1
42,PER47,1
42,PER8,1
42,PER9,5
43,PER10,1
43,PER11,2
43,PER12,5
43,PER13,8
43,PER14,8
43,PER15,8
43,PER16,13
43,PER17,16
43,PER18,19
43,PER19,23
43,PER20,26
43,PER21,28
43,PER22,55
43,PER23,82
43,PER24,92
43,PER25,55
43,PER26,25
43,PER27,25
43,PER28,18
43,PER29,13
43,PER30,10
43,PER31,10
43,PER32,7
43,PER33,5
43,PER34,6
43,PER35,7
43,PER36,7
43,PER37,6
43,PER38,4
43,PER39,5
43,PER40,5
43,PER41,4
43,PER42,4
43,PER43,3
43,PER44,3
43,PER45,2
43,PER46,1
43,PER47,1
43,PER8,1
44,PER10,17
44,PER11,26
44,PER12,39
44,PER13,49
44,PER14,62
44,PER15,71
44,PER16,79
44,PER17,91
44,PER18,96
44,PER19,95
44,PER20,95
44,PER21,99
44,PER22,96
44,PER23,101
44,PER24,102
44,PER25,101
44,PER26,106
44,PER27,107
44,PER28,102
44,PER29,94
44,PER30,91
44,PER31,83
44,PER32,70
44,PER33,64
44,PER34,56
44,PER35,52
44,PER36,45
44,PER37,48
44,PER38,39
44,PER39,36
44,PER40,29
44,PER41,20
44,PER42,13
44,PER43,10
44,PER44,8
44,PER45,6
44,PER46,6
44,PER47,1
44,PER8,2
44,PER9,8
45,PER10,56
45,PER11,94
45,PER12,150
45,PER13,265
45,PER14,379
45,PER15,456
45,PER16,493
45,PER17,501
45,PER18,523
45,PER19,536
45,PER20,550
45,PER21,561
45,PER22,550
45,PER23,552
45,PER24,551
45,PER25,538
45,PER26,544
45,PER27,544
45,PER28,530
45,PER29,475
45,PER30,384
45,PER31,330
45,PER32,292
45,PER33,271
45,PER34,235
45,PER35,220
45,PER36,208
45,PER37,193
45,PER38,162
45,PER39,134
45,PER40,110
45,PER41,85
45,PER42,57
45,PER43,46
45,PER44,37
45,PER45,27
45,PER46,21
45,PER47,13
45,PER8,21
45,PER9,36
46,PER10,17
46,PER11,35
46,PER12,67
46,PER13,121
46,PER14,209
46,PER15,268
46,PER16,303
46,PER17,322
46,PER18,345
46,PER19,361
46,PER20,377
46,PER21,387
46,PER22,386
46,PER23,382
46,PER24,378
46,PER25,362
46,PER26,371
46,PER27,367
46,PER28,365
46,PER29,331
46,PER30,297
46,PER31,267
46,PER32,244
46,PER33,236
46,PER34,205
46,PER35,186
46,PER36,171
46,PER37,166
46,PER38,144
46,PER39,118
46,PER40,83
46,PER41,69
46,PER42,41
46,PER43,30
46,PER44,22
46,PER45,15
46,PER46,9
46,PER47,6
46,PER8,3
46,PER9,9
47,PER10,3
47,PER11,8
47,PER12,12
47,PER13,21
47,PER14,34
47,PER15,52
47,PER16,55
47,PER17,61
47,PER18,72
47,PER19,71
47,PER20,74
47,PER21,71
47,PER22,72
47,PER23,77
47,PER24,78
47,PER25,77
47,PER26,69
47,PER27,68
47,PER28,65
47,PER29,66
47,PER30,73
47,PER31,65
47,PER32,57
47,PER33,52
47,PER34,44
47,PER35,39
47,PER36,33
47,PER37,36
47,PER38,28
47,PER39,25
47,PER40,22
47,PER41,17
47,PER42,9
47,PER43,6
47,PER44,5
47,PER45,3
47,PER46,1
47,PER47,1
48,PER10,6
48,PER11,9
48,PER12,18
48,PER13,38
48,PER14,66
48,PER15,79
48,PER16,77
48,PER17,83
48,PER18,86
48,PER19,88
48,PER20,86
48,PER21,88
48,PER22,93
48,PER23,92
48,PER24,92
48,PER25,94
48,PER26,94
48,PER27,91
48,PER28,88
48,PER29,77
48,PER30,64
48,PER31,61
48,PER32,53
48,PER33,48
48,PER34,41
48,PER35,36
48,PER36,33
48,PER37,24
48,PER38,20
48,PER39,16
48,PER40,12
48,PER41,9
48,PER42,6
48,PER43,5
48,PER44,4
48,PER45,4
48,PER46,3
48,PER47,1
49,PER10,24
49,PER11,35
49,PER12,67
49,PER13,117
49,PER14,195
49,PER15,247
49,PER16,270
49,PER17,279
49,PER18,283
49,PER19,300
49,PER20,306
49,PER21,314
49,PER22,318
49,PER23,320
49,PER24,305
49,PER25,301
49,PER26,287
49,PER27,287
49,PER28,287
49,PER29,254
49,PER30,224
49,PER31,194
49,PER32,167
49,PER33,144
49,PER34,141
49,PER35,126
49,PER36,111
49,PER37,99
49,PER38,75
49,PER39,60
49,PER40,53
49,PER41,42
49,PER42,36
49,PER43,34
49,PER44,27
49,PER45,18
49,PER46,16
49,PER47,8
49,PER8,11
49,PER9,12
50,PER10,17
50,PER11,35
50,PER12,59
50,PER13,125
50,PER14,229
50,PER15,282
50,PER16,306
50,PER17,318
50,PER18,337
50,PER19,346
50,PER20,352
50,PER21,355
50,PER22,354
50,PER23,353
50,PER24,349
50,PER25,337
50,PER26,326
50,PER27,324
50,PER28,308
50,PER29,280
50,PER30,249
50,PER31,226
50,PER32,202
50,PER33,171
50,PER34,146
50,PER35,130
50,PER36,118
50,PER37,104
50,PER38,86
50,PER39,73
50,PER40,62
50,PER41,43
50,PER42,34
50,PER43,24
50,PER44,22
50,PER45,19
50,PER46,15
50,PER47,10
50,PER8,6
50,PER9,10
51,PER10,6
51,PER11,8
51,PER12,13
51,PER13,26
51,PER14,36
51,PER15,48
51,PER16,56
51,PER17,58
51,PER18,63
51,PER19,62
51,PER20,67
51,PER21,70
51,PER22,81
51,PER23,94
51,PER24,90
51,PER25,77
51,PER26,61
51,PER27,57
51,PER28,52
51,PER29,48
51,PER30,43
51,PER31,40
51,PER32,42
51,PER33,37
51,PER34,32
51,PER35,25
51,PER36,28
51,PER37,20
51,PER38,16
51,PER39,9
51,PER40,10
51,PER41,9
51,PER42,5
51,PER43,5
51,PER44,4
51,PER45,3
51,PER46,2
51,PER47,1
51,PER8,2
51,PER9,3
52,PER10,17
52,PER11,22
52,PER12,34
52,PER13,54
52,PER14,85
52,PER15,99
52,PER16,110
52,PER17,111
52,PER18,117
52,PER19,120
52,PER20,128
52,PER21,133
52,PER22,132
52,PER23,142
52,PER24,142
52,PER25,138
52,PER26,140
52,PER27,135
52,PER28,135
52,PER29,124
52,PER30,106
52,PER31,92
52,PER32,78
52,PER33,72
52,PER34,63
52,PER35,54
52,PER36,59
52,PER37,55
52,PER38,54
52,PER39,51
52,PER40,48
52,PER41,29
52,PER42,20
52,PER43,15
52,PER44,9
52,PER45,4
52,PER46,2
52,PER47,1
52,PER8,6
52,PER9,10
53,PER10,34
53,PER11,53
53,PER12,93
53,PER13,161
53,PER14,219
53,PER15,257
53,PER16,274
53,PER17,294
53,PER18,318
53,PER19,331
53,PER20,355
53,PER21,372
53,PER22,385
53,PER23,378
53,PER24,364
53,PER25,349
53,PER26,334
53,PER27,320
53,PER28,307
53,PER29,283
53,PER30,252
53,PER31,228
53,PER32,204
53,PER33,185
53,PER34,170
53,PER35,153
53,PER36,159
53,PER37,150
53,PER38,132
53,PER39,114
53,PER40,86
53,PER41,56
53,PER42,35
53,PER43,20
53,PER44,11
53,PER45,7
53,PER46,5
53,PER47,3
53,PER8,6
53,PER9,15
54,PER10,40
54,PER11,58
54,PER12,95
54,PER13,184
54,PER14,280
54,PER15,348
54,PER16,387
54,PER17,411
54,PER18,432
54,PER19,445
54,PER20,456
54,PER21,475
54,PER22,488
54,PER23,487
54,PER24,472
54,PER25,461
54,PER26,452
54,PER27,430
54,PER28,400
54,PER29,360
54,PER30,313
54,PER31,283
54,PER32,252
54,PER33,237
54,PER34,217
54,PER35,199
54,PER36,194
54,PER37,179
54,PER38,150
54,PER39,122
54,PER40,96
54,PER41,71
54,PER42,52
54,PER43,43
54,PER44,32
54,PER45,16
54,PER46,11
54,PER47,7
54,PER8,8
54,PER9,18
55,PER10,27
55,PER11,46
55,PER12,79
55,PER13,124
55,PER14,181
55,PER15,224
55,PER16,236
55,PER17,238
55,PER18,248
55,PER19,257
55,PER20,272
55,PER21,277
55,PER22,282
55,PER23,279
55,PER24,270
55,PER25,264
55,PER26,274
55,PER27,265
55,PER28,265
55,PER29,245
55,PER30,215
55,PER31,186
55,PER32,159
55,PER33,133
55,PER34,100
55,PER35,88
55,PER36,90
55,PER37,90
55,PER38,82
55,PER39,67
55,PER40,57
55,PER41,47
55,PER42,37
55,PER43,31
55,PER44,20
55,PER45,18
55,PER46,11
55,PER47,5
55,PER8,8
55,PER9,13
56,PER10,18
56,PER11,27
56,PER12,54
56,PER13,96
56,PER14,174
56,PER15,210
56,PER16,230
56,PER17,236
56,PER18,253
56,PER19,272
56,PER20,282
56,PER21,289
56,PER22,297
56,PER23,307
56,PER24,303
56,PER25,294
56,PER26,291
56,PER27,284
56,PER28,271
56,PER29,235
56,PER30,208
56,PER31,170
56,PER32,164
56,PER33,149
56,PER34,133
56,PER35,115
56,PER36,101
56,PER37,96
56,PER38,85
56,PER39,70
56,PER40,57
56,PER41,49
56,PER42,38
56,PER43,35
56,PER44,26
56,PER45,20
56,PER46,11
56,PER47,4
56,PER8,4
56,PER9,11
57,PER10,3
57,PER11,6
57,PER12,10
57,PER13,14
57,PER14,25
57,PER15,26
57,PER16,29
57,PER17,33
57,PER18,34
57,PER19,36
57,PER20,36
57,PER21,37
57,PER22,37
57,PER23,40
57,PER24,43
57,PER25,43
57,PER26,42
57,PER27,40
57,PER28,40
57,PER29,36
57,PER30,38
57,PER31,36
57,PER32,28
57,PER33,22
57,PER34,23
57,PER35,19
57,PER36,18
57,PER37,19
57,PER38,16
57,PER39,9
57,PER40,8
57,PER41,5
57,PER42,3
57,PER43,2
57,PER8,3
57,PER9,3
58,PER10,4
58,PER11,11
58,PER12,15
58,PER13,33
58,PER14,54
58,PER15,62
58,PER16,67
58,PER17,66
58,PER18,69
58,PER19,70
58,PER20,77
