PERSON_TYPE,PER,PURPOSE,QUANTITY,person_order
FULL-TIME WORKER,42,WORK,91756,1
FULL-TIME WORKER,42,WORK-BASED,2382,1
FULL-TIME WORKER,43,DISCRETIONARY,7023,1
FULL-TIME WORKER,43,EATING OUT,2565,1
FULL-TIME WORKER,43,ESCORT,4332,1
FULL-TIME WORKER,43,HOME,1372015,1
FULL-TIME WORKER,43,MAINTENANCE,4909,1
FULL-TIME WORKER,43,SHOP,5199,1
FULL-TIME WORKER,43,VISITING,7053,1
FULL-TIME WORKER,43,WORK,77702,1
FULL-TIME WORKER,43,WORK-BASED,2078,1
FULL-TIME WORKER,44,DISCRETIONARY,4908,1
FULL-TIME WORKER,44,EATING OUT,2014,1
FULL-TIME WORKER,44,ESCORT,3742,1
FULL-TIME WORKER,44,HOME,1395035,1
FULL-TIME WORKER,44,MAINTENANCE,3176,1
FULL-TIME WORKER,44,SHOP,3465,1
FULL-TIME WORKER,44,VISITING,4208,1
FULL-TIME WORKER,44,WORK,64633,1
FULL-TIME WORKER,44,WORK-BASED,1695,1
FULL-TIME WORKER,45,DISCRETIONARY,3241,1
FULL-TIME WORKER,45,EATING OUT,1528,1
FULL-TIME WORKER,45,ESCORT,3203,1
FULL-TIME WORKER,45,HOME,1415288,1
FULL-TIME WORKER,45,MAINTENANCE,1913,1
FULL-TIME WORKER,45,SHOP,2143,1
FULL-TIME WORKER,45,VISITING,2643,1
FULL-TIME WORKER,45,WORK,51715,1
FULL-TIME WORKER,45,WORK-BASED,1202,1
FULL-TIME WORKER,46,DISCRETIONARY,1946,1
FULL-TIME WORKER,46,EATING OUT,1056,1
FULL-TIME WORKER,46,ESCORT,2725,1
FULL-TIME WORKER,46,HOME,1434437,1
FULL-TIME WORKER,46,MAINTENANCE,1101,1
FULL-TIME WORKER,46,SHOP,1251,1
FULL-TIME WORKER,46,VISITING,1019,1
FULL-TIME WORKER,46,WORK,38561,1
FULL-TIME WORKER,46,WORK-BASED,780,1
FULL-TIME WORKER,47,DISCRETIONARY,885,1
FULL-TIME WORKER,47,EATING OUT,629,1
FULL-TIME WORKER,47,ESCORT,1819,1
FULL-TIME WORKER,47,HOME,1454587,1
FULL-TIME WORKER,47,MAINTENANCE,452,1
FULL-TIME WORKER,47,SHOP,551,1
FULL-TIME WORKER,47,VISITING,556,1
FULL-TIME WORKER,47,WORK,23041,1
FULL-TIME WORKER,47,WORK-BASED,356,1
PART-TIME WORKER,8,DISCRETIONARY,371,2
PART-TIME WORKER,8,EATING OUT,82,2
PART-TIME WORKER,8,ESCORT,33,2
PART-TIME WORKER,8,HOME,300194,2
PART-TIME WORKER,8,MAINTENANCE,139,2
PART-TIME WORKER,8,SHOP,94,2
PART-TIME WORKER,8,VISITING,94,2
PART-TIME WORKER,9,DISCRETIONARY,890,2
PART-TIME WORKER,9,EATING OUT,169,2
PART-TIME WORKER,9,ESCORT,155,2
PART-TIME WORKER,9,HOME,298967,2
PART-TIME WORKER,9,MAINTENANCE,387,2
PART-TIME WORKER,9,SHOP,233,2
PART-TIME WORKER,9,VISITING,182,2
PART-TIME WORKER,9,WORK,23,2
PART-TIME WORKER,9,WORK-BASED,1,2
PART-TIME WORKER,10,DISCRETIONARY,1465,2
PART-TIME WORKER,10,EATING OUT,237,2
PART-TIME WORKER,10,ESCORT,546,2
PART-TIME WORKER,10,HOME,297157,2
PART-TIME WORKER,10,MAINTENANCE,740,2
PART-TIME WORKER,10,SHOP,398,2
PART-TIME WORKER,10,VISITING,271,2
PART-TIME WORKER,10,WORK,191,2
