ZONE,PER,QUANTITY
40,PER12,4
40,PER13,11
40,PER14,16
40,PER15,16
40,PER16,21
40,PER17,22
40,PER18,30
40,PER19,33
40,PER20,31
40,PER21,31
40,PER22,29
40,PER23,28
40,PER24,27
40,PER25,23
40,PER26,22
40,PER27,27
40,PER28,24
40,PER29,35
40,PER30,39
40,PER31,35
40,PER32,33
40,PER33,22
40,PER34,11
40,PER35,15
40,PER36,18
40,PER37,19
40,PER38,14
40,PER39,9
40,PER40,8
40,PER41,4
40,PER42,4
40,PER43,4
40,PER44,3
40,PER45,2
40,PER8,1
40,PER9,1
41,PER10,2
41,PER11,5
41,PER12,8
41,PER13,18
41,PER14,23
41,PER15,26
41,PER16,28
41,PER17,28
41,PER18,29
41,PER19,29
41,PER20,27
41,PER21,27
41,PER22,24
41,PER23,26
41,PER24,28
41,PER25,21
41,PER26,24
41,PER27,28
41,PER28,25
41,PER29,22
41,PER30,17
41,PER31,14
41,PER32,16
41,PER33,20
41,PER34,21
41,PER35,19
41,PER36,35
41,PER37,37
41,PER38,33
41,PER39,23
41,PER40,15
41,PER41,11
41,PER42,5
41,PER43,4
41,PER45,1
41,PER46,1
42,PER12,1
42,PER13,2
42,PER14,10
42,PER15,15
42,PER16,13
42,PER17,13
42,PER18,10
42,PER19,9
42,PER20,10
42,PER21,12
42,PER22,12
42,PER23,12
42,PER24,12
42,PER25,10
42,PER26,10
42,PER27,10
42,PER28,11
42,PER29,11
42,PER30,10
42,PER31,8
42,PER32,8
42,PER33,6
42,PER34,9
42,PER35,11
42,PER36,12
42,PER37,12
42,PER38,14
42,PER39,11
42,PER40,11
42,PER41,9
42,PER42,5
42,PER43,5
42,PER44,5
42,PER45,4
42,PER46,1
42,PER8,1
42,PER9,1
43,PER10,261
43,PER11,381
43,PER12,498
43,PER13,649
43,PER14,766
43,PER15,871
43,PER16,929
43,PER17,973
43,PER18,997
43,PER19,1013
43,PER20,1029
43,PER21,1036
43,PER22,1056
43,PER23,1068
43,PER24,1079
43,PER25,1078
43,PER26,1074
43,PER27,1073
43,PER28,1057
43,PER29,1019
43,PER30,940
43,PER31,864
43,PER32,760
43,PER33,633
43,PER34,485
43,PER35,359
43,PER36,280
43,PER37,242
43,PER38,201
43,PER39,181
43,PER40,158
43,PER41,145
43,PER42,127
43,PER43,105
43,PER44,91
43,PER45,71
43,PER46,50
43,PER47,33
43,PER8,82
43,PER9,135
44,PER12,1
44,PER13,3
44,PER14,6
44,PER15,7
44,PER16,6
44,PER17,7
44,PER18,7
44,PER19,7
44,PER20,7
44,PER21,8
44,PER22,8
44,PER23,8
44,PER24,8
44,PER25,7
44,PER26,6
44,PER27,10
44,PER28,12
44,PER29,11
44,PER30,11
44,PER31,9
44,PER32,9
44,PER33,9
44,PER34,9
44,PER35,10
44,PER36,10
44,PER37,8
44,PER38,6
44,PER39,4
44,PER40,1
44,PER41,1
44,PER42,1
44,PER43,1
44,PER44,1
44,PER46,1
44,PER47,1
45,PER10,6
45,PER11,8
45,PER12,13
45,PER13,26
45,PER14,40
45,PER15,48
45,PER16,57
45,PER17,63
45,PER18,69
45,PER19,74
45,PER20,84
45,PER21,86
45,PER22,86
45,PER23,93
45,PER24,94
45,PER25,91
45,PER26,84
45,PER27,82
45,PER28,80
45,PER29,74
45,PER30,60
45,PER31,64
45,PER32,71
45,PER33,65
45,PER34,73
45,PER35,78
45,PER36,78
45,PER37,62
45,PER38,48
45,PER39,44
45,PER40,33
45,PER41,32
45,PER42,26
45,PER43,22
45,PER44,18
45,PER45,5
45,PER46,4
45,PER47,1
46,PER10,4
46,PER11,3
46,PER12,8
46,PER13,16
46,PER14,23
46,PER15,29
46,PER16,27
46,PER17,27
46,PER18,26
46,PER19,27
46,PER20,31
46,PER21,35
46,PER22,42
46,PER23,46
46,PER24,44
46,PER25,42
46,PER26,35
46,PER27,35
46,PER28,38
46,PER29,36
46,PER30,27
46,PER31,32
46,PER32,26
46,PER33,31
46,PER34,31
46,PER35,46
46,PER36,50
46,PER37,51
46,PER38,44
46,PER39,35
46,PER40,34
46,PER41,22
46,PER42,15
46,PER43,5
46,PER44,3
46,PER45,3
46,PER46,2
46,PER47,2
46,PER8,3
46,PER9,3
47,PER11,2
47,PER12,2
47,PER13,2
47,PER14,8
47,PER15,10
47,PER16,13
47,PER17,13
47,PER18,14
47,PER19,14
47,PER20,13
47,PER21,13
47,PER22,10
47,PER23,11
47,PER24,10
47,PER25,13
47,PER26,12
47,PER27,12
47,PER28,10
47,PER29,10
47,PER30,12
47,PER31,11
47,PER32,11
47,PER33,12
47,PER34,13
47,PER35,13
47,PER36,11
47,PER37,8
47,PER38,6
47,PER39,6
47,PER40,4
47,PER41,3
47,PER42,3
47,PER43,1
47,PER44,1
48,PER13,2
48,PER14,3
48,PER15,8
48,PER16,8
48,PER17,8
48,PER18,6
48,PER19,7
48,PER20,8
48,PER21,8
48,PER22,10
48,PER23,9
48,PER24,6
48,PER25,6
48,PER26,6
48,PER27,8
48,PER28,8
48,PER29,4
48,PER30,2
48,PER31,2
48,PER32,2
48,PER34,1
48,PER35,1
48,PER36,1
48,PER37,1
48,PER38,1
48,PER39,1
48,PER40,1
48,PER41,1
48,PER8,1
49,PER10,4
49,PER11,5
49,PER12,5
49,PER13,12
49,PER14,27
49,PER15,43
49,PER16,66
49,PER17,66
49,PER18,62
49,PER19,65
49,PER20,59
49,PER21,64
49,PER22,64
49,PER23,65
49,PER24,63
49,PER25,63
49,PER26,65
49,PER27,60
49,PER28,55
49,PER29,47
49,PER30,40
49,PER31,44
49,PER32,43
49,PER33,43
49,PER34,40
49,PER35,52
49,PER36,68
49,PER37,67
49,PER38,59
49,PER39,46
49,PER40,32
49,PER41,22
49,PER42,13
49,PER43,9
49,PER44,7
49,PER45,6
49,PER46,5
49,PER47,4
49,PER9,1
50,PER11,6
50,PER12,9
50,PER13,18
50,PER14,33
50,PER15,48
50,PER16,61
50,PER17,65
50,PER18,70
50,PER19,86
50,PER20,89
50,PER21,90
50,PER22,87
50,PER23,83
50,PER24,79
50,PER25,74
50,PER26,75
50,PER27,77
50,PER28,77
50,PER29,74
50,PER30,69
50,PER31,66
50,PER32,72
50,PER33,72
50,PER34,77
50,PER35,66
50,PER36,74
50,PER37,80
50,PER38,50
50,PER39,46
50,PER40,24
50,PER41,20
50,PER42,18
50,PER43,11
50,PER44,8
50,PER45,4
50,PER46,3
50,PER47,2
51,PER10,47
51,PER11,80
51,PER12,139
51,PER13,209
51,PER14,299
51,PER15,378
51,PER16,445
51,PER17,487
51,PER18,506
51,PER19,538
51,PER20,544
51,PER21,565
51,PER22,568
51,PER23,577
51,PER24,581
51,PER25,574
51,PER26,566
51,PER27,545
51,PER28,518
51,PER29,508
51,PER30,488
51,PER31,439
51,PER32,401
51,PER33,356
51,PER34,303
51,PER35,264
51,PER36,220
51,PER37,187
51,PER38,160
51,PER39,128
51,PER40,108
51,PER41,95
51,PER42,76
51,PER43,63
51,PER44,54
