"Freight Flows","Lat","Long","Grouping","Daily$","DailyTons"
"I-5 NB Lombard",45.581091,-122.67848,"Coal, Oil, Waste, etc.",4551307,11172
"I-5 NB Lombard",45.581091,-122.67848,"Electronics",500067,43
"I-5 NB Lombard",45.581091,-122.67848,"Food",4072065,2990
"I-5 NB Lombard",45.581091,-122.67848,"Gravel, Sand, etc.",29358,2342
"I-5 NB Lombard",45.581091,-122.67848,"Machinery",2165845,1249
"I-5 NB Lombard",45.581091,-122.67848,"Misc manufactured",637455,305
"I-5 NB Lombard",45.581091,-122.67848,"Motor Vehicles, etc.",12192,1
"I-5 NB Lombard",45.581091,-122.67848,"Wood, Paper, etc.",3006657,5367
"I-5 NB OR 217",45.414262,-122.743941,"Agriculture",1262525,2747
"I-5 NB OR 217",454.14262,-1227.43941,"All Goods",22018826,37359
"I-5 NB OR 217",45.414262,-122.743941,"Chemical",1131048,3127
"I-5 NB OR 217",45.414262,-122.743941,"Coal, Oil, Waste, etc.",5976928,14672
"I-5 NB OR 217",45.414262,-122.743941,"Electronics",832036,72
"I-5 NB OR 217",45.414262,-122.743941,"Food",5621883,4129
"I-5 NB OR 217",45.414262,-122.743941,"Gravel, Sand, etc.",59003,4707
"I-5 NB OR 217",45.414262,-122.743941,"Machinery",2709176,1563
"I-5 NB OR 217",45.414262,-122.743941,"Misc manufactured",460267,220
"I-5 NB OR 217",45.414262,-122.743941,"Motor Vehicles, etc.",567065,55
"I-5 NB OR 217",45.414262,-122.743941,"Wood, Paper, etc.",3398895,6067
"I-5 SB Fremont",45.551016,-122.678837,"Agriculture",783622,1705
"I-5 SB Fremont",455.51016,-1226.78837,"All Goods",29126436,35479
"I-5 SB Fremont",45.551016,-122.678837,"Chemical",619496,1713
"I-5 SB Fremont",45.551016,-122.678837,"Coal, Oil, Waste, etc.",4674507,11475
"I-5 SB Fremont",45.551016,-122.678837,"Electronics",1455687,125
"I-5 SB Fremont",45.551016,-122.678837,"Food",6853780,5033
"I-5 SB Fremont",45.551016,-122.678837,"Gravel, Sand, etc.",13266,1058
"I-5 SB Fremont",45.551016,-122.678837,"Machinery",5079988,2931
"I-5 SB Fremont",45.551016,-122.678837,"Misc manufactured",1903174,909
"I-5 SB Fremont",45.551016,-122.678837,"Motor Vehicles, etc.",1950393,190
"I-5 SB Fremont",45.551016,-122.678837,"Wood, Paper, etc.",5792523,10340
"I-5 SB I-205",45.347186,-122.766821,"Agriculture",1938854,4218
"I-5 SB I-205",453.47186,-1227.66821,"All Goods",37974862,67544
"I-5 SB I-205",45.347186,-122.766821,"Chemical",3000426,8295
"I-5 SB I-205",45.347186,-122.766821,"Coal, Oil, Waste, etc.",11459847,28131
"I-5 SB I-205",45.347186,-122.766821,"Electronics",895761,77
"I-5 SB I-205",45.347186,-122.766821,"Food",5728150,4207
"I-5 SB I-205",45.347186,-122.766821,"Gravel, Sand, etc.",58490,4666
"I-5 SB I-205",45.347186,-122.766821,"Machinery",6707748,3870
"I-5 SB I-205",45.347186,-122.766821,"Misc manufactured",283461,135
"I-5 SB I-205",45.347186,-122.766821,"Motor Vehicles, etc.",95431,9
"I-5 SB I-205",45.347186,-122.766821,"Wood, Paper, etc.",7806694,13936
"I-5 SB Jantzen Beach",45.607426,-122.681354,"Agriculture",255525,556
"I-5 SB Jantzen Beach",456.07426,-1226.81354,"All Goods",25997494,29424
"I-5 SB Jantzen Beach",45.607426,-122.681354,"Chemical",866273,2395
"I-5 SB Jantzen Beach",45.607426,-122.681354,"Coal, Oil, Waste, etc.",2390020,5867
"I-5 SB Jantzen Beach",45.607426,-122.681354,"Electronics",1096121,94
"I-5 SB Jantzen Beach",45.607426,-122.681354,"Food",6550319,4810
"I-5 SB Jantzen Beach",45.607426,-122.681354,"Gravel, Sand, etc.",14166,1130
"I-5 SB Jantzen Beach",45.607426,-122.681354,"Machinery",5056516,2917
"I-5 SB Jantzen Beach",45.607426,-122.681354,"Misc manufactured",1934565,924
"I-5 SB Jantzen Beach",45.607426,-122.681354,"Motor Vehicles, etc.",1928418,188
"I-5 SB Jantzen Beach",45.607426,-122.681354,"Wood, Paper, etc.",5905571,10542
"I-5 SB Lombard",45.581091,-122.67848,"Agriculture",662270,1441
"I-5 SB Lombard",455.81091,-1226.7848,"All Goods",24772469,28670
"I-5 SB Lombard",45.581091,-122.67848,"Chemical",608642,1683
"I-5 SB Lombard",45.581091,-122.67848,"Coal, Oil, Waste, etc.",2841860,6976
"I-5 SB Lombard",45.581091,-122.67848,"Electronics",1271466,110
"I-5 SB Lombard",45.581091,-122.67848,"Food",6555081,4814
"I-5 SB Lombard",45.581091,-122.67848,"Gravel, Sand, etc.",12402,989
"I-5 SB Lombard",45.581091,-122.67848,"Machinery",3712684,2142
"I-5 SB Lombard",45.581091,-122.67848,"Misc manufactured",1903174,909
"I-5 SB Lombard",45.581091,-122.67848,"Motor Vehicles, etc.",1928418,188
"I-5 SB Lombard",45.581091,-122.67848,"Wood, Paper, etc.",5276472,9419
"I-5 SB OR 217",45.414262,-122.743941,"Agriculture",1921982,4182
"I-5 SB OR 217",454.14262,-1227.43941,"All Goods",39391921,69972
"I-5 SB OR 217",45.414262,-122.743941,"Chemical",2757896,7625
"I-5 SB OR 217",45.414262,-122.743941,"Coal, Oil, Waste, etc.",11319169,27785
"I-5 SB OR 217",45.414262,-122.743941,"Electronics",1182437,102
"I-5 SB OR 217",45.414262,-122.743941,"Food",6241685,4584
"I-5 SB OR 217",45.414262,-122.743941,"Gravel, Sand, etc.",80406,6415
"I-5 SB OR 217",45.414262,-122.743941,"Machinery",7048738,4066
"I-5 SB OR 217",45.414262,-122.743941,"Misc manufactured",255130,122
"I-5 SB OR 217",45.414262,-122.743941,"Motor Vehicles, etc.",137579,13
"I-5 SB OR 217",45.414262,-122.743941,"Wood, Paper, etc.",8446901,15078
"I-84 EB 122nd",45.547109,-122.542493,"Agriculture",3918064,8524
"I-84 EB 122nd",455.47109,-1225.42493,"All Goods",25312375,37891
"I-84 EB 122nd",45.547109,-122.542493,"Chemical",1959972,5419
"I-84 EB 122nd",45.547109,-122.542493,"Coal, Oil, Waste, etc.",3407488,8364
"I-84 EB 122nd",45.547109,-122.542493,"Electronics",2338726,202
"I-84 EB 122nd",45.547109,-122.542493,"Food",4889219,3591
"I-84 EB 122nd",45.547109,-122.542493,"Gravel, Sand, etc.",42011,3352
"I-84 EB 122nd",45.547109,-122.542493,"Machinery",4145082,2391
"I-84 EB 122nd",45.547109,-122.542493,"Misc manufactured",584629,279
"I-84 EB 122nd",45.547109,-122.542493,"Motor Vehicles, etc.",840918,82
"I-84 EB 122nd",45.547109,-122.542493,"Wood, Paper, etc.",3186268,5688
"I-84 EB 82nd",45.531689,-122.573484,"Agriculture",2473015,5380
"I-84 EB 82nd",455.31689,-1225.73484,"All Goods",16603864,30474
"I-84 EB 82nd",45.531689,-122.573484,"Chemical",1334099,3688
"I-84 EB 82nd",45.531689,-122.573484,"Coal, Oil, Waste, etc.",4324691,10616
"I-84 EB 82nd",45.531689,-122.573484,"Electronics",649092,56
"I-84 EB 82nd",45.531689,-122.573484,"Food",3627571,2664
"I-84 EB 82nd",45.531689,-122.573484,"Gravel, Sand, etc.",40533,3234
"I-84 EB 82nd",45.531689,-122.573484,"Machinery",1582052,913
"I-84 EB 82nd",45.531689,-122.573484,"Misc manufactured",456167,218
"I-84 EB 82nd",45.531689,-122.573484,"Motor Vehicles, etc.",43729,4
"I-84 EB 82nd",45.531689,-122.573484,"Wood, Paper, etc.",2072916,3700
"I-84 EB Grand",45.526849,-122.657473,"Agriculture",2053536,4468
"I-84 EB Grand",455.26849,-1226.57473,"All Goods",16264392,29424
"I-84 EB Grand",45.526849,-122.657473,"Chemical",1340976,3707
"I-84 EB Grand",45.526849,-122.657473,"Coal, Oil, Waste, etc.",4278387,10502
"I-84 EB Grand",45.526849,-122.657473,"Electronics",836983,72
"I-84 EB Grand",45.526849,-122.657473,"Food",3713985,2727
"I-84 EB Grand",45.526849,-122.657473,"Gravel, Sand, etc.",41412,3304
"I-84 EB Grand",45.526849,-122.657473,"Machinery",1503104,867
"I-84 EB Grand",45.526849,-122.657473,"Misc manufactured",520187,249
"I-84 EB Grand",45.526849,-122.657473,"Motor Vehicles, etc.",0,0
"I-84 EB Grand",45.526849,-122.657473,"Wood, Paper, etc.",1975822,3527
"I-84 EB Wood Village",45.542781,-122.409417,"Agriculture",3763021,8187
"I-84 EB Wood Village",455.42781,-1224.09417,"All Goods",19281192,23797
"I-84 EB Wood Village",45.542781,-122.409417,"Chemical",1686615,4663
"I-84 EB Wood Village",45.542781,-122.409417,"Coal, Oil, Waste, etc.",883503,2169
"I-84 EB Wood Village",45.542781,-122.409417,"Electronics",1942828,167
"I-84 EB Wood Village",45.542781,-122.409417,"Food",3241445,2380
"I-84 EB Wood Village",45.542781,-122.409417,"Gravel, Sand, etc.",2262,180
"I-84 EB Wood Village",45.542781,-122.409417,"Machinery",4666821,2692
"I-84 EB Wood Village",45.542781,-122.409417,"Misc manufactured",373127,178
"I-84 EB Wood Village",45.542781,-122.409417,"Motor Vehicles, etc.",994855,97
"I-84 EB Wood Village",45.542781,-122.409417,"Wood, Paper, etc.",1726714,3082
"I-84 WB 122nd",45.547109,-122.542493,"Agriculture",1369123,2979
"I-84 WB 122nd",455.47109,-1225.42493,"All Goods",30273336,39073
"I-84 WB 122nd",45.547109,-122.542493,"Chemical",1034324,2860
"I-84 WB 122nd",45.547109,-122.542493,"Coal, Oil, Waste, etc.",6014558,14764
"I-84 WB 122nd",45.547109,-122.542493,"Electronics",2638911,227
"I-84 WB 122nd",45.547109,-122.542493,"Food",8062576,5921
"I-84 WB 122nd",45.547109,-122.542493,"Gravel, Sand, etc.",40005,3192
"I-84 WB 122nd",45.547109,-122.542493,"Machinery",4625635,2668
"I-84 WB 122nd",45.547109,-122.542493,"Misc manufactured",2151308,1028
"I-84 WB 122nd",45.547109,-122.542493,"Motor Vehicles, etc.",1367099,133
"I-84 WB 122nd",45.547109,-122.542493,"Wood, Paper, etc.",2969797,5301
"I-84 WB 82nd",45.531689,-122.573484,"Agriculture",690432,1502
"I-84 WB 82nd",455.31689,-1225.73484,"All Goods",17389031,25288
"I-84 WB 82nd",45.531689,-122.573484,"Chemical",783094,2165
"I-84 WB 82nd",45.531689,-122.573484,"Coal, Oil, Waste, etc.",3946785,9688
"I-84 WB 82nd",45.531689,-122.573484,"Electronics",1625421,140
"I-84 WB 82nd",45.531689,-122.573484,"Food",4951264,3636
"I-84 WB 82nd",45.531689,-122.573484,"Gravel, Sand, etc.",36402,2904
"I-84 WB 82nd",45.531689,-122.573484,"Machinery",2986659,1723
"I-84 WB 82nd",45.531689,-122.573484,"Misc manufactured",142481,68
"I-84 WB 82nd",45.531689,-122.573484,"Motor Vehicles, etc.",304173,30
"I-84 WB 82nd",45.531689,-122.573484,"Wood, Paper, etc.",1922320,3431
"I-84 WB Grand",45.526849,-122.657473,"Agriculture",741226,1613
"I-84 WB Grand",455.26849,-1226.57473,"All Goods",21809501,31917
"I-84 WB Grand",45.526849,-122.657473,"Chemical",939578,2598
"I-84 WB Grand",45.526849,-122.657473,"Coal, Oil, Waste, etc.",5049658,12396
"I-84 WB Grand",45.526849,-122.657473,"Electronics",1963923,169
"I-84 WB Grand",45.526849,-122.657473,"Food",5710679,4194
"I-84 WB Grand",45.526849,-122.657473,"Gravel, Sand, etc.",48761,3890
"I-84 WB Grand",45.526849,-122.657473,"Machinery",4180635,2412
"I-84 WB Grand",45.526849,-122.657473,"Misc manufactured",245720,117
"I-84 WB Grand",45.526849,-122.657473,"Motor Vehicles, etc.",414673,40
"I-84 WB Grand",45.526849,-122.657473,"Wood, Paper, etc.",2514649,4489
"I-84 WB Wood Village",45.542781,-122.409417,"Agriculture",897383,1952
"I-84 WB Wood Village",455.42781,-1224.09417,"All Goods",21338207,22480
"I-84 WB Wood Village",45.542781,-122.409417,"Chemical",970109,2682
"I-84 WB Wood Village",45.542781,-122.409417,"Coal, Oil, Waste, etc.",2058943,5054
"I-84 WB Wood Village",45.542781,-122.409417,"Electronics",1984414,171
"I-84 WB Wood Village",45.542781,-122.409417,"Food",6613048,4856
"I-84 WB Wood Village",45.542781,-122.409417,"Gravel, Sand, etc.",14608,1165
"I-84 WB Wood Village",45.542781,-122.409417,"Machinery",3529837,2036
"I-84 WB Wood Village",45.542781,-122.409417,"Misc manufactured",1986384,949
"I-84 WB Wood Village",45.542781,-122.409417,"Motor Vehicles, etc.",1332437,130
"I-84 WB Wood Village",45.542781,-122.409417,"Wood, Paper, etc.",1951044,3483
"Killingsworth St EB",45.562153,-122.567513,"Agriculture",267623,582
"Killingsworth St EB",455.62153,-1225.67513,"All Goods",6268688,7936
"Killingsworth St EB",45.562153,-122.567513,"Chemical",257823,713
"Killingsworth St EB",45.562153,-122.567513,"Coal, Oil, Waste, etc.",1252339,3074
"Killingsworth St EB",45.562153,-122.567513,"Electronics",99338,9
"Killingsworth St EB",45.562153,-122.567513,"Food",1832288,1346
"Killingsworth St EB",45.562153,-122.567513,"Gravel, Sand, etc.",2444,195
"Killingsworth St EB",45.562153,-122.567513,"Machinery",1881917,1086
"Killingsworth St EB",45.562153,-122.567513,"Misc manufactured",172464,82
"Killingsworth St EB",45.562153,-122.567513,"Motor Vehicles, etc.",28222,3
"Killingsworth St EB",45.562153,-122.567513,"Wood, Paper, etc.",474230,847
"Killingsworth St WB",45.562153,-122.567513,"Agriculture",155791,339
"Killingsworth St WB",455.62153,-1225.67513,"All Goods",7091495,10985
"Killingsworth St WB",45.562153,-122.567513,"Chemical",352077,973
"Killingsworth St WB",45.562153,-122.567513,"Coal, Oil, Waste, etc.",2069887,5081
"Killingsworth St WB",45.562153,-122.567513,"Electronics",215957,19
"Killingsworth St WB",45.562153,-122.567513,"Food",2782314,2043
"Killingsworth St WB",45.562153,-122.567513,"Gravel, Sand, etc.",6636,529
"Killingsworth St WB",45.562153,-122.567513,"Machinery",267334,154
"Killingsworth St WB",45.562153,-122.567513,"Misc manufactured",220788,106
"Killingsworth St WB",45.562153,-122.567513,"Motor Vehicles, etc.",48480,5
"Killingsworth St WB",45.562153,-122.567513,"Wood, Paper, etc.",972230,1736
"Lombard St EB OR 99E",45.577204,-122.65723,"Agriculture",154075,335
