"STATION","MODE","LAT","LONG","TIMEOFDAY","BOARDINGS","ALIGHTINGS"
"64089","BUS",33.7609504128486,-84.3851467910148,"DAILY",99.01,70.01
"64102","BUS",33.7576882415282,-84.3822112049613,"DAILY",363,447
"Hurt Park Stree","RAIL",33.7544745889414,-84.3852734973642,"DAILY",24,28
"Park Place Stre","RAIL",33.7550672785689,-84.3882024146624,"DAILY",33,21
"64117","BUS",33.75553343895,-84.3888959652067,"DAILY",8,9
"64124","BUS",33.7517708587307,-84.3916034798312,"DAILY",197,243.99
"64130","BUS",33.749429592,-84.3959901870233,"DAILY",0,0
"64140","BUS",33.7496322290637,-84.3852534910985,"DAILY",7,200
"64145","BUS",33.7526004339396,-84.3883104484972,"DAILY",215,80.04
"64148","BUS",33.7497749312212,-84.3806773912577,"DAILY",7,11.01
"64149","BUS",33.7507082033312,-84.3795090253409,"DAILY",0,0
"64150","BUS",33.7499547359396,-84.3780859129743,"DAILY",1,5
"64151","BUS",33.7493078194923,-84.3795236966024,"DAILY",14,4
"64152","BUS",33.7482651423948,-84.3795423691171,"DAILY",0,0
"64153","BUS",33.7468466829493,-84.377964541629,"DAILY",0,4
"64154","BUS",33.7467258617893,-84.3707022671805,"DAILY",10,29
"64158","BUS",33.7466050406293,-84.3606817955676,"DAILY",53,55
"64162","BUS",33.7339302350004,-84.373609844462,"DAILY",46,41
"64164","BUS",33.704939816031,-84.420040385895,"DAILY",3,1
"64165","BUS",33.7098154730788,-84.4228172555739,"DAILY",4,4
"64170","BUS",33.7577215386983,-84.3771949672751,"DAILY",0,0
"64171","BUS",33.7576939496145,-84.3753397195694,"DAILY",0,0
"64172","BUS",33.7565000082301,-84.3743327375292,"DAILY",3,2
"64173","BUS",33.7555077525617,-84.3753717295945,"DAILY",59,55
"64178","BUS",33.7565047649687,-84.372120044543,"DAILY",11,6
"64179","BUS",33.7576225985358,-84.3700940767032,"DAILY",2,6
"64183","BUS",33.7588783775218,-84.3742887237447,"DAILY",0,0
